2014-05-21T15:49:47.674Z - debug: monitode one=1.44091796875, five=1.41796875, fifteen=1.37060546875, total=8589934592, used=4672614400, v8rss=32415744, v8total=30238464, v8used=11271104
2014-05-21T15:49:52.677Z - debug: monitode one=1.4853515625, five=1.42724609375, fifteen=1.3740234375, total=8589934592, used=4673691648, v8rss=32415744, v8total=30238464, v8used=11290784
2014-05-21T15:49:57.678Z - debug: monitode one=1.4462890625, five=1.419921875, fifteen=1.37158203125, total=8589934592, used=4672266240, v8rss=32415744, v8total=30238464, v8used=11309792
2014-05-21T15:50:02.679Z - debug: monitode one=1.41015625, five=1.41259765625, fifteen=1.369140625, total=8589934592, used=4672032768, v8rss=32419840, v8total=30238464, v8used=11327976
2014-05-21T15:50:07.680Z - debug: monitode one=1.45703125, five=1.421875, fifteen=1.37255859375, total=8589934592, used=4671737856, v8rss=32428032, v8total=30238464, v8used=11346280
2014-05-21T15:50:12.681Z - debug: monitode one=1.50048828125, five=1.43115234375, fifteen=1.3759765625, total=8589934592, used=4672786432, v8rss=32428032, v8total=30238464, v8used=11364528
2014-05-21T15:50:17.682Z - debug: monitode one=1.3798828125, five=1.4072265625, fifteen=1.36767578125, total=8589934592, used=4672516096, v8rss=32428032, v8total=30238464, v8used=11382712
2014-05-21T15:50:22.684Z - debug: monitode one=1.34912109375, five=1.400390625, fifteen=1.365234375, total=8589934592, used=4672462848, v8rss=32428032, v8total=30238464, v8used=11400856
2014-05-21T15:50:27.686Z - debug: monitode one=1.32080078125, five=1.3935546875, fifteen=1.36279296875, total=8589934592, used=4668850176, v8rss=32432128, v8total=30238464, v8used=11424416
2014-05-21T15:50:32.688Z - debug: monitode one=1.294921875, five=1.38671875, fifteen=1.3603515625, total=8589934592, used=4668780544, v8rss=32432128, v8total=30238464, v8used=11442816
2014-05-21T15:50:37.305Z - debug: monitode one=1.294921875, five=1.38671875, fifteen=1.3603515625, total=8589934592, used=4674072576, v8rss=30593024, v8total=18766080, v8used=11385776
2014-05-21T15:50:42.311Z - debug: monitode one=1.27099609375, five=1.3798828125, fifteen=1.35791015625, total=8589934592, used=4684627968, v8rss=31436800, v8total=21849856, v8used=13035120
2014-05-21T15:50:47.314Z - debug: monitode one=1.4091796875, five=1.40673828125, fifteen=1.3671875, total=8589934592, used=4711165952, v8rss=31789056, v8total=30238464, v8used=10466944
2014-05-21T15:50:52.315Z - debug: monitode one=1.3759765625, five=1.39990234375, fifteen=1.36474609375, total=8589934592, used=4710555648, v8rss=31801344, v8total=30238464, v8used=10494184
2014-05-21T15:50:57.317Z - debug: monitode one=1.42578125, five=1.40966796875, fifteen=1.3681640625, total=8589934592, used=4710694912, v8rss=31801344, v8total=30238464, v8used=10512728
2014-05-21T15:55:03.726Z - debug: monitode one=1.4931640625, five=1.42333984375, fifteen=1.37158203125, total=8589934592, used=4786024448, v8rss=31637504, v8total=19798016, v8used=11424352
2014-05-21T15:55:08.732Z - debug: monitode one=1.61376953125, five=1.44921875, fifteen=1.380859375, total=8589934592, used=4804628480, v8rss=33009664, v8total=30238464, v8used=10525920
2014-05-21T15:55:13.734Z - debug: monitode one=1.564453125, five=1.44140625, fifteen=1.37841796875, total=8589934592, used=4816863232, v8rss=33079296, v8total=30238464, v8used=10674456
2014-05-21T15:55:18.736Z - debug: monitode one=1.51904296875, five=1.43359375, fifteen=1.3759765625, total=8589934592, used=4821786624, v8rss=33103872, v8total=30238464, v8used=10779336
